Architecture,Layer
resnet18,relu
resnet18,layer1.0.relu
resnet18,layer1.1.relu
resnet18,layer2.0.relu
resnet18,layer2.1.relu
resnet18,layer3.0.relu
resnet18,layer3.1.relu
resnet18,layer4.0.relu
resnet18,layer4.1.relu
resnet50,relu
resnet50,layer1.0.relu_2
resnet50,layer1.1.relu_2
resnet50,layer1.2.relu_2
resnet50,layer2.0.relu_2
resnet50,layer2.1.relu_2
resnet50,layer2.2.relu_2
resnet50,layer2.3.relu_2
resnet50,layer3.0.relu_2
resnet50,layer3.1.relu_2
resnet50,layer3.2.relu_2
resnet50,layer3.3.relu_2
resnet50,layer3.4.relu_2
resnet50,layer3.5.relu_2
resnet50,layer4.0.relu_2
resnet50,layer4.1.relu_2
resnet50,layer4.2.relu_2
resnext50_32x4d,relu
resnext50_32x4d,layer1.0.relu_2
resnext50_32x4d,layer1.1.relu_2
resnext50_32x4d,layer1.2.relu_2
resnext50_32x4d,layer2.0.relu_2
resnext50_32x4d,layer2.1.relu_2
resnext50_32x4d,layer2.2.relu_2
resnext50_32x4d,layer2.3.relu_2
resnext50_32x4d,layer3.0.relu_2
resnext50_32x4d,layer3.1.relu_2
resnext50_32x4d,layer3.2.relu_2
resnext50_32x4d,layer3.3.relu_2
resnext50_32x4d,layer3.4.relu_2
resnext50_32x4d,layer3.5.relu_2
resnext50_32x4d,layer4.0.relu_2
resnext50_32x4d,layer4.1.relu_2
resnext50_32x4d,layer4.2.relu_2
wide_resnet50_2,relu
wide_resnet50_2,layer1.0.relu_2
wide_resnet50_2,layer1.1.relu_2
wide_resnet50_2,layer1.2.relu_2
wide_resnet50_2,layer2.0.relu_2
wide_resnet50_2,layer2.1.relu_2
wide_resnet50_2,layer2.2.relu_2
wide_resnet50_2,layer2.3.relu_2
wide_resnet50_2,layer3.0.relu_2
wide_resnet50_2,layer3.1.relu_2
wide_resnet50_2,layer3.2.relu_2
wide_resnet50_2,layer3.3.relu_2
wide_resnet50_2,layer3.4.relu_2
wide_resnet50_2,layer3.5.relu_2
wide_resnet50_2,layer4.0.relu_2
wide_resnet50_2,layer4.1.relu_2
wide_resnet50_2,layer4.2.relu_2
alexnet,features.1
alexnet,features.4
alexnet,features.7
alexnet,features.9
alexnet,features.11
vgg16,features.1
vgg16,features.3
vgg16,features.6
vgg16,features.8
vgg16,features.11
vgg16,features.13
vgg16,features.15
vgg16,features.18
vgg16,features.20
vgg16,features.22
vgg16,features.25
vgg16,features.27
vgg16,features.29
densenet121,features.relu0
densenet121,features.denseblock1.denselayer1.relu2
densenet121,features.denseblock1.denselayer2.relu2
densenet121,features.denseblock1.denselayer3.relu2
densenet121,features.denseblock1.denselayer4.relu2
densenet121,features.denseblock1.denselayer5.relu2
densenet121,features.denseblock1.denselayer6.relu2
densenet121,features.denseblock2.denselayer1.relu2
densenet121,features.denseblock2.denselayer2.relu2
densenet121,features.denseblock2.denselayer3.relu2
densenet121,features.denseblock2.denselayer4.relu2
densenet121,features.denseblock2.denselayer5.relu2
densenet121,features.denseblock2.denselayer6.relu2
densenet121,features.denseblock2.denselayer7.relu2
densenet121,features.denseblock2.denselayer8.relu2
densenet121,features.denseblock2.denselayer9.relu2
densenet121,features.denseblock2.denselayer10.relu2
densenet121,features.denseblock2.denselayer11.relu2
densenet121,features.denseblock2.denselayer12.relu2
densenet121,features.denseblock3.denselayer1.relu2
densenet121,features.denseblock3.denselayer2.relu2
densenet121,features.denseblock3.denselayer3.relu2
densenet121,features.denseblock3.denselayer4.relu2
densenet121,features.denseblock3.denselayer5.relu2
densenet121,features.denseblock3.denselayer6.relu2
densenet121,features.denseblock3.denselayer7.relu2
densenet121,features.denseblock3.denselayer8.relu2
densenet121,features.denseblock3.denselayer9.relu2
densenet121,features.denseblock3.denselayer10.relu2
densenet121,features.denseblock3.denselayer11.relu2
densenet121,features.denseblock3.denselayer12.relu2
densenet121,features.denseblock3.denselayer13.relu2
densenet121,features.denseblock3.denselayer14.relu2
densenet121,features.denseblock3.denselayer15.relu2
densenet121,features.denseblock3.denselayer16.relu2
densenet121,features.denseblock3.denselayer17.relu2
densenet121,features.denseblock3.denselayer18.relu2
densenet121,features.denseblock3.denselayer19.relu2
densenet121,features.denseblock3.denselayer20.relu2
densenet121,features.denseblock3.denselayer21.relu2
densenet121,features.denseblock3.denselayer22.relu2
densenet121,features.denseblock3.denselayer23.relu2
densenet121,features.denseblock3.denselayer24.relu2
densenet121,features.denseblock4.denselayer1.relu2
densenet121,features.denseblock4.denselayer2.relu2
densenet121,features.denseblock4.denselayer3.relu2
densenet121,features.denseblock4.denselayer4.relu2
densenet121,features.denseblock4.denselayer5.relu2
densenet121,features.denseblock4.denselayer6.relu2
densenet121,features.denseblock4.denselayer7.relu2
densenet121,features.denseblock4.denselayer8.relu2
densenet121,features.denseblock4.denselayer9.relu2
densenet121,features.denseblock4.denselayer10.relu2
densenet121,features.denseblock4.denselayer11.relu2
densenet121,features.denseblock4.denselayer12.relu2
densenet121,features.denseblock4.denselayer13.relu2
densenet121,features.denseblock4.denselayer14.relu2
densenet121,features.denseblock4.denselayer15.relu2
densenet121,features.denseblock4.denselayer16.relu2
densenet121,features.transition1.relu
densenet121,features.transition2.relu
densenet121,features.transition3.relu
squeezenet1_1,features.1
squeezenet1_1,features.3.squeeze_activation
squeezenet1_1,features.4.squeeze_activation
squeezenet1_1,features.6.squeeze_activation
squeezenet1_1,features.7.squeeze_activation
squeezenet1_1,features.9.squeeze_activation
squeezenet1_1,features.10.squeeze_activation
squeezenet1_1,features.11.squeeze_activation
squeezenet1_1,features.12.squeeze_activation
squeezenet1_1,features.3.expand1x1_activation
squeezenet1_1,features.4.expand1x1_activation
squeezenet1_1,features.6.expand1x1_activation
squeezenet1_1,features.7.expand1x1_activation
squeezenet1_1,features.9.expand1x1_activation
squeezenet1_1,features.10.expand1x1_activation
squeezenet1_1,features.11.expand1x1_activation
squeezenet1_1,features.12.expand1x1_activation
squeezenet1_1,features.3.expand3x3_activation
squeezenet1_1,features.4.expand3x3_activation
squeezenet1_1,features.6.expand3x3_activation
squeezenet1_1,features.7.expand3x3_activation
squeezenet1_1,features.9.expand3x3_activation
squeezenet1_1,features.10.expand3x3_activation
squeezenet1_1,features.11.expand3x3_activation
squeezenet1_1,features.12.expand3x3_activation
shufflenet_v2_x1_0,conv1.2
shufflenet_v2_x1_0,conv5.2
shufflenet_v2_x1_0,stage2.0.branch1.4
shufflenet_v2_x1_0,stage3.0.branch1.4
shufflenet_v2_x1_0,stage4.0.branch1.4
shufflenet_v2_x1_0,stage2.0.branch2.2
shufflenet_v2_x1_0,stage2.0.branch2.7
shufflenet_v2_x1_0,stage3.0.branch2.2
shufflenet_v2_x1_0,stage3.0.branch2.7
shufflenet_v2_x1_0,stage4.0.branch2.2
shufflenet_v2_x1_0,stage4.0.branch2.7
shufflenet_v2_x1_0,stage2.1.branch2.2
shufflenet_v2_x1_0,stage2.1.branch2.7
shufflenet_v2_x1_0,stage2.2.branch2.2
shufflenet_v2_x1_0,stage2.2.branch2.7
shufflenet_v2_x1_0,stage2.3.branch2.2
shufflenet_v2_x1_0,stage2.3.branch2.7
shufflenet_v2_x1_0,stage4.1.branch2.2
shufflenet_v2_x1_0,stage4.1.branch2.7
shufflenet_v2_x1_0,stage4.2.branch2.2
shufflenet_v2_x1_0,stage4.2.branch2.7
shufflenet_v2_x1_0,stage4.3.branch2.2
shufflenet_v2_x1_0,stage4.3.branch2.7
shufflenet_v2_x1_0,stage3.1.branch2.2
shufflenet_v2_x1_0,stage3.1.branch2.7
shufflenet_v2_x1_0,stage3.2.branch2.2
shufflenet_v2_x1_0,stage3.2.branch2.7
shufflenet_v2_x1_0,stage3.3.branch2.2
shufflenet_v2_x1_0,stage3.3.branch2.7
shufflenet_v2_x1_0,stage3.4.branch2.2
shufflenet_v2_x1_0,stage3.4.branch2.7
shufflenet_v2_x1_0,stage3.5.branch2.2
shufflenet_v2_x1_0,stage3.5.branch2.7
shufflenet_v2_x1_0,stage3.6.branch2.2
shufflenet_v2_x1_0,stage3.6.branch2.7
shufflenet_v2_x1_0,stage3.7.branch2.2
shufflenet_v2_x1_0,stage3.7.branch2.7
convnext_tiny,features.1.0.block.4
convnext_tiny,features.1.2.block.4
convnext_tiny,features.3.0.block.4
convnext_tiny,features.3.2.block.4
convnext_tiny,features.7.0.block.4
convnext_tiny,features.7.2.block.4
convnext_tiny,features.5.0.block.4
convnext_tiny,features.5.2.block.4
convnext_tiny,features.5.4.block.4
convnext_tiny,features.5.6.block.4
convnext_tiny,features.5.8.block.4
swin_t,features.1.0.norm1
swin_t,features.1.0.norm2
